gene_id	AgedFemale-Brain-NoStim-13_S10_counts	AgedFemale-Brain-NoStim-14_S1_counts	AgedFemale-Brain-NoStim-15_S6_counts	AgedFemale-Brain-NoStim-16_S12_counts	AgedFemale-Brain-NoStim-17_S8_counts	AgedFemale-Brain-PlusStim-23_S11_counts	AgedFemale-Brain-PlusStim-24_S9_counts	AgedFemale-Brain-PlusStim-25_S5_counts	AgedFemale-Brain-PlusStim-26_S1_counts	AgedFemale-Brain-PlusStim-27_S8_counts	AgedMale-Brain-NoStim-10_S9_counts	AgedMale-Brain-NoStim-11_S10_counts	AgedMale-Brain-NoStim-12_S11_counts	AgedMale-Brain-NoStim-7_S6_counts	AgedMale-Brain-NoStim-8_S7_counts	AgedMale-Brain-NoStim-9_S8_counts	AgedMale-Brain-PlusStim-19_S4_counts	AgedMale-Brain-PlusStim-20_S3_counts	AgedMale-Brain-PlusStim-21_S7_counts	AgedMale-Brain-PlusStim-22_S2_counts	AgedMaleSpleenNoStim30_S10_counts	AgedMaleSpleenNoStim31_S7_counts	AgedMaleSpleenNoStim32_S12_counts	AgedMaleSpleenNoStim33_S3_counts	AgedMaleSpleenNoStim34_S4_counts	AgedMaleSpleenPlusStim36_S2_counts	AgedMaleSpleenPlusStim37_S6_counts	AgedMaleSpleenPlusStim38_S5_counts	AgedMaleSpleenPlusStim39_S9_counts	AgedMaleSpleenPlusStim40_S11_counts	YoungMale-Brain-NoStim-2_S1_counts	YoungMale-Brain-NoStim-3_S2_counts	YoungMale-Brain-NoStim-4_S3_counts	YoungMale-Brain-NoStim-5_S4_counts	YoungMale-Brain-NoStim-6_S5_counts
ENSMUSG00000031194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	21	0	0	1	19	9	0	8	3	0	0	0	0	0
ENSMUSG00000031197	177	150	477	21	316	196	0	0	33	0	426	579	893	379	0	93	0	0	0	0	145	161	174	354	208	151	254	113	114	250	117	16	50	599	1422
ENSMUSG00000031198	771	471	0	998	1113	0	0	2	206	0	448	124	5	66	5	145	0	0	0	0	445	420	412	797	431	225	292	406	232	199	107	7	594	1638	1358
ENSMUSG00000031200	0	14	0	0	27	0	0	0	0	0	54	0	0	0	0	13	0	0	0	0	8	26	8	23	7	3	8	7	3	9	0	0	0	0	0
ENSMUSG00000031201	436	80	2544	265	958	0	0	31	13	0	1087	186	2463	3548	135	736	49	0	0	0	368	319	351	504	465	544	225	244	180	330	58	2492	5	539	193
ENSMUSG00000031202	97	0	0	0	0	0	0	0	0	0	1	7	2	0	0	0	0	0	0	0	15	12	9	62	29	68	36	32	23	6	1	0	158	40	0
ENSMUSG00000031204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031207	9124	12157	3410	7423	9248	1476	2271	1128	1635	141	19453	14316	13121	20438	4735	14705	3013	1293	1156	370	8657	7994	8918	14028	9475	7339	6092	6645	4722	5073	11385	9521	7608	12282	10237
ENSMUSG00000031209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031210	0	2	0	0	0	0	7	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000031212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031214	0	0	16	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	35	0	0	0	0	0	0	0	0	122	0
ENSMUSG00000031216	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	8	5	0	0	0	1	0	174	0	0
ENSMUSG00000031217	3	9	0	0	11	2	0	0	0	0	12	0	0	0	0	144	0	0	0	0	16	16	10	19	5	11	31	10	8	23	75	0	0	0	0
ENSMUSG00000031220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031221	1212	471	3216	1209	3094	186	13	397	36	10	3624	3723	11306	10310	257	6539	9	46	8	0	1305	1564	1331	2408	1424	1806	1188	1292	857	1301	5290	4532	4186	3082	454
ENSMUSG00000031224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031226	1178	194	3145	342	80	7	0	0	1	0	534	610	4062	1161	885	940	0	0	0	26	415	440	492	653	709	884	337	358	240	568	271	6	190	122	551
ENSMUSG00000031227	30	0	0	0	87	0	0	0	0	0	5	755	2	366	2	422	0	0	0	0	35	75	78	241	94	55	38	75	25	12	7	3	631	189	463
ENSMUSG00000031229	3645	9253	3675	8872	5731	6712	2210	2044	374	663	6071	3322	4950	7282	3931	5890	2207	1349	0	3	4837	4406	4947	7754	5192	4702	3371	3853	3177	3804	6294	11816	6086	4294	5380
ENSMUSG00000031230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031231	1303	1003	555	535	1551	0	744	7	1	0	1909	2443	1235	3786	607	541	0	0	0	0	960	880	927	1085	1015	607	487	329	359	617	713	1192	3318	833	1441
ENSMUSG00000031232	325	329	166	511	84	58	260	308	38	153	58	1188	73	598	4	200	185	138	237	66	282	243	334	372	206	116	162	195	103	177	5	76	9	106	685
ENSMUSG00000031233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031239	69	0	0	169	2	0	0	4	0	0	0	269	1	24	0	0	77	0	0	0	132	152	221	312	127	160	91	88	75	81	2	0	0	266	195
ENSMUSG00000031241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031242	98	4	0	0	17	0	0	0	0	0	801	10	2	2	2	47	0	0	0	0	100	138	168	356	334	3	71	61	83	0	5	2	1287	38	0
ENSMUSG00000031245	738	421	131	8	957	4157	1303	1652	738	282	202	3070	1842	389	6	3314	142	37	127	25	655	613	531	1257	684	1134	566	702	539	694	259	115	2	220	1194
ENSMUSG00000031246	213	133	74	94	63	0	0	1	10	0	144	99	945	445	86	176	3	0	0	0	299	315	227	733	267	414	159	367	168	178	1	3	1034	52	143
ENSMUSG00000031250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031256	1061	1099	45	730	1137	0	0	0	33	1	50	1318	2818	3556	1278	1081	0	0	0	238	685	775	602	982	681	731	539	380	319	334	187	819	1305	1088	449
ENSMUSG00000031257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031258	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000031262	34	0	0	0	434	0	0	17	4	0	2	2	1	723	321	92	0	0	0	0	1	4	2	38	4	0	15	16	13	23	0	1	0	3	0
ENSMUSG00000031264	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	160	0	0	0	0	5	21	1	55	17	113	72	66	18	11	1	0	0	0	0
ENSMUSG00000031266	31	0	0	316	54	0	0	0	18	0	62	2	582	181	49	140	185	0	0	0	19	14	26	53	40	143	231	88	95	320	0	37	100	1	70
ENSMUSG00000031270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
